Auction Number,Price,Bid,Name,Time,Plate
43,"24,000,000 ₮","1,000,000 ₮",Т. Э***Р,09:04:39,0011 УАР
42,"23,000,000 ₮","500,000 ₮",Б. М***Э,09:04:36,0011 УАР
41,"22,500,000 ₮","50,000 ₮",Б. П***А,09:04:30,0011 УАР
40,"22,450,000 ₮","50,000 ₮",Б. М***Э,09:04:25,0011 УАР
39,"22,400,000 ₮","50,000 ₮",З. Х***Р,09:04:16,0011 УАР
38,"22,350,000 ₮","50,000 ₮",Н. Э***Г,09:04:14,0011 УАР
37,"22,300,000 ₮","50,000 ₮",Б. П***А,09:03:56,0011 УАР
36,"22,250,000 ₮","300,000 ₮",Д. Б***Д,09:03:29,0011 УАР
35,"21,950,000 ₮","1,000,000 ₮",Б. П***А,09:03:13,0011 УАР
34,"20,950,000 ₮","1,000,000 ₮",Б. М***Э,09:02:44,0011 УАР
33,"19,950,000 ₮","1,000,000 ₮",Д. Б***Д,09:02:34,0011 УАР
32,"18,950,000 ₮","1,000,000 ₮",Б. М***Э,09:01:56,0011 УАР
31,"17,950,000 ₮","500,000 ₮",Т. Э***Р,09:01:50,0011 УАР
30,"17,450,000 ₮","1,000,000 ₮",Б. М***Э,09:01:45,0011 УАР
29,"16,450,000 ₮","100,000 ₮",Т. Э***Р,09:01:41,0011 УАР
28,"16,350,000 ₮","1,000,000 ₮",Б. М***Э,09:01:30,0011 УАР
27,"15,350,000 ₮","1,000,000 ₮",Б. П***А,09:01:24,0011 УАР
26,"14,350,000 ₮","100,000 ₮",З. Х***Р,09:01:22,0011 УАР
25,"14,250,000 ₮","1,000,000 ₮",Б. М***Э,09:01:17,0011 УАР
24,"13,250,000 ₮","50,000 ₮",Ч. А***А,09:01:17,0011 УАР
23,"13,200,000 ₮","100,000 ₮",П. Ц***Х,09:01:16,0011 УАР
22,"13,100,000 ₮","1,000,000 ₮",Б. П***А,09:01:05,0011 УАР
21,"12,100,000 ₮","100,000 ₮",Т. Э***Р,09:01:03,0011 УАР
20,"12,000,000 ₮","100,000 ₮",Ж. Б***Ү,09:01:02,0011 УАР
19,"11,900,000 ₮","1,000,000 ₮",Б. М***Э,09:01:01,0011 УАР
18,"10,900,000 ₮","1,000,000 ₮",Д. Б***Р,09:00:57,0011 УАР
17,"9,900,000 ₮","1,000,000 ₮",Б. М***Э,09:00:55,0011 УАР
16,"8,900,000 ₮","50,000 ₮",Б. Б***Ү,09:00:53,0011 УАР
15,"8,850,000 ₮","1,000,000 ₮",Б. П***А,09:00:50,0011 УАР
14,"7,850,000 ₮","50,000 ₮",Б. Д***Л,09:00:48,0011 УАР
13,"7,800,000 ₮","1,000,000 ₮",Б. М***Э,09:00:46,0011 УАР
12,"6,800,000 ₮","500,000 ₮",З. Х***Р,09:00:43,0011 УАР
11,"6,300,000 ₮","1,000,000 ₮",Д. С***Н,09:00:42,0011 УАР
10,"5,300,000 ₮","1,000,000 ₮",Б. М***Э,09:00:41,0011 УАР
9,"4,300,000 ₮","50,000 ₮",Б. Д***Л,09:00:38,0011 УАР
8,"4,250,000 ₮","1,000,000 ₮",Б. М***Э,09:00:34,0011 УАР
7,"3,250,000 ₮","1,000,000 ₮",Д. С***Н,09:00:33,0011 УАР
6,"2,250,000 ₮","50,000 ₮",Б. Д***Л,09:00:25,0011 УАР
5,"2,200,000 ₮","1,000,000 ₮",З. Х***Р,09:00:25,0011 УАР
4,"1,200,000 ₮","100,000 ₮",Б. П***А,09:00:25,0011 УАР
3,"1,100,000 ₮","50,000 ₮",Г. А***А,09:00:24,0011 УАР
2,"1,050,000 ₮","50,000 ₮",С. Б***Х,09:00:14,0011 УАР
1,"1,000,000 ₮","1,000,000 ₮",Б. М***Э,09:00:13,0011 УАР
180,"64,100,000 ₮","1,000,000 ₮",О. Б***Р,09:27:31,0101 УАР
179,"63,100,000 ₮","50,000 ₮",Г. Ц***А,09:27:16,0101 УАР
178,"63,050,000 ₮","1,000,000 ₮",О. Б***Р,09:26:10,0101 УАР
177,"62,050,000 ₮","1,000,000 ₮",С. Л***Л,09:25:56,0101 УАР
176,"61,050,000 ₮","1,000,000 ₮",О. Б***Р,09:25:49,0101 УАР
175,"60,050,000 ₮","1,000,000 ₮",С. Л***Л,09:25:46,0101 УАР
174,"59,050,000 ₮","1,000,000 ₮",О. Б***Р,09:25:37,0101 УАР
173,"58,050,000 ₮","50,000 ₮",Т. Э***Р,09:25:35,0101 УАР
172,"58,000,000 ₮","1,000,000 ₮",С. Л***Л,09:25:25,0101 УАР
171,"57,000,000 ₮","100,000 ₮",Ж. Б***Ү,09:25:17,0101 УАР
170,"56,900,000 ₮","1,000,000 ₮",С. Л***Л,09:25:09,0101 УАР
169,"55,900,000 ₮","500,000 ₮",Ж. Б***Ү,09:25:04,0101 УАР
168,"55,400,000 ₮","1,000,000 ₮",С. Л***Л,09:24:51,0101 УАР
167,"54,400,000 ₮","50,000 ₮",Ж. Б***Ү,09:24:45,0101 УАР
166,"54,350,000 ₮","1,000,000 ₮",С. Л***Л,09:24:36,0101 УАР
165,"53,350,000 ₮","1,000,000 ₮",О. Б***Р,09:23:07,0101 УАР
164,"52,350,000 ₮","50,000 ₮",Т. Э***Р,09:22:52,0101 УАР
163,"52,300,000 ₮","1,000,000 ₮",О. Б***Р,09:22:47,0101 УАР
162,"51,300,000 ₮","50,000 ₮",З. Ө***Р,09:22:46,0101 УАР
161,"51,250,000 ₮","50,000 ₮",Т. Э***Р,09:22:45,0101 УАР
160,"51,200,000 ₮","50,000 ₮",Д. О***Р,09:22:41,0101 УАР
159,"51,150,000 ₮","1,000,000 ₮",О. Б***Р,09:22:30,0101 УАР
158,"50,150,000 ₮","100,000 ₮",Т. Э***Р,09:22:06,0101 УАР
157,"50,050,000 ₮","1,000,000 ₮",О. Б***Р,09:21:26,0101 УАР
156,"49,050,000 ₮","1,000,000 ₮",С. Л***Л,09:21:24,0101 УАР
155,"48,050,000 ₮","1,000,000 ₮",О. Б***Р,09:21:14,0101 УАР
154,"47,050,000 ₮","1,000,000 ₮",С. Л***Л,09:21:10,0101 УАР
153,"46,050,000 ₮","1,000,000 ₮",О. Б***Р,09:21:04,0101 УАР
152,"45,050,000 ₮","1,000,000 ₮",С. Л***Л,09:21:02,0101 УАР
151,"44,050,000 ₮","50,000 ₮",Д. О***Р,09:21:01,0101 УАР
150,"44,000,000 ₮","1,000,000 ₮",С. Л***Л,09:20:59,0101 УАР
149,"43,000,000 ₮","1,000,000 ₮",О. Б***Р,09:20:43,0101 УАР
148,"42,000,000 ₮","1,000,000 ₮",С. Л***Л,09:20:38,0101 УАР
147,"41,000,000 ₮","1,000,000 ₮",О. Б***Р,09:20:36,0101 УАР
146,"40,000,000 ₮","1,000,000 ₮",С. Л***Л,09:20:33,0101 УАР
145,"39,000,000 ₮","50,000 ₮",О. Б***Р,09:20:30,0101 УАР
144,"38,950,000 ₮","1,000,000 ₮",С. Л***Л,09:20:26,0101 УАР
143,"37,950,000 ₮","50,000 ₮",О. Б***Р,09:20:22,0101 УАР
142,"37,900,000 ₮","1,000,000 ₮",С. Л***Л,09:20:18,0101 УАР
141,"36,900,000 ₮","50,000 ₮",О. Б***Р,09:20:18,0101 УАР
140,"36,850,000 ₮","100,000 ₮",Г. Ц***А,09:20:15,0101 УАР
