Auction Number,Price,Bid,Name,Time
307,"168,550,000 ₮","50,000 ₮",Б. Б***Р,09:09:55
306,"168,500,000 ₮","1,000,000 ₮",Ж. Э***Д,09:09:50
305,"167,500,000 ₮","50,000 ₮",О. Д***Н,09:09:49
304,"167,450,000 ₮","1,000,000 ₮",О. Б***Р,09:09:45
303,"166,450,000 ₮","50,000 ₮",С. Г***Р,09:09:41
302,"166,400,000 ₮","1,000,000 ₮",О. Б***Р,09:09:40
301,"165,400,000 ₮","1,000,000 ₮",Х. Ц***А,09:09:38
300,"164,400,000 ₮","50,000 ₮",С. Э***Л,09:09:22
299,"164,350,000 ₮","50,000 ₮",Э. Э***Р,09:09:19
298,"164,300,000 ₮","50,000 ₮",Д. О***Р,09:09:16
297,"164,250,000 ₮","50,000 ₮",Д. М***Н,09:09:12
296,"164,200,000 ₮","500,000 ₮",О. Б***Р,09:09:04
295,"163,700,000 ₮","50,000 ₮",Д. О***Р,09:08:57
294,"163,650,000 ₮","500,000 ₮",О. Б***Р,09:08:56
293,"163,150,000 ₮","1,000,000 ₮",Х. Ц***А,09:08:51
292,"162,150,000 ₮","50,000 ₮",О. Д***Н,09:08:50
291,"162,100,000 ₮","50,000 ₮",Д. О***Р,09:08:50
290,"162,050,000 ₮","50,000 ₮",З. О***Р,09:08:45
289,"162,000,000 ₮","50,000 ₮",Л. Н***Й,09:08:34
288,"161,950,000 ₮","50,000 ₮",М. А***Р,09:08:25
287,"161,900,000 ₮","500,000 ₮",Г. Э***Г,09:08:23
286,"161,400,000 ₮","1,000,000 ₮",Х. Ц***А,09:08:14
285,"160,400,000 ₮","100,000 ₮",Д. М***Н,09:08:03
284,"160,300,000 ₮","50,000 ₮",Д. О***Р,09:08:02
283,"160,250,000 ₮","1,000,000 ₮",Ч. Б***Т,09:08:02
282,"159,250,000 ₮","100,000 ₮",М. А***Р,09:07:56
281,"159,150,000 ₮","50,000 ₮",Г. Э***Г,09:07:51
280,"159,100,000 ₮","50,000 ₮",Б. М***Э,09:07:47
279,"159,050,000 ₮","100,000 ₮",О. Б***Р,09:07:44
278,"158,950,000 ₮","50,000 ₮",Г. Г***Т,09:07:38
277,"158,900,000 ₮","1,000,000 ₮",Д. Б***Р,09:07:37
276,"157,900,000 ₮","500,000 ₮",И. Б***В,09:07:36
275,"157,400,000 ₮","50,000 ₮",О. Д***Н,09:07:36
274,"157,350,000 ₮","300,000 ₮",Ж. Б***Ү,09:07:32
273,"157,050,000 ₮","50,000 ₮",Д. О***Р,09:07:29
272,"157,000,000 ₮","50,000 ₮",Ц. Ө***Р,09:07:27
271,"156,950,000 ₮","50,000 ₮",А. Б***Н,09:07:23
270,"156,900,000 ₮","500,000 ₮",Х. Ц***А,09:07:22
269,"156,400,000 ₮","1,000,000 ₮",Ж. Э***Д,09:07:12
268,"155,400,000 ₮","500,000 ₮",Г. У***Т,09:07:11
267,"154,900,000 ₮","50,000 ₮",Д. О***Р,09:07:09
266,"154,850,000 ₮","500,000 ₮",Г. Ш***Г,09:07:01
265,"154,350,000 ₮","300,000 ₮",Х. Ц***А,09:07:01
264,"154,050,000 ₮","50,000 ₮",М. Х***Н,09:06:51
263,"154,000,000 ₮","100,000 ₮",Д. М***Н,09:06:51
262,"153,900,000 ₮","1,000,000 ₮",С. С***Н,09:06:50
261,"152,900,000 ₮","1,000,000 ₮",Ж. Э***Д,09:06:50
260,"151,900,000 ₮","500,000 ₮",Х. Ц***А,09:06:43
259,"151,400,000 ₮","1,000,000 ₮",Ж. Э***Д,09:06:38
258,"150,400,000 ₮","1,000,000 ₮",Д. Б***Р,09:06:37
257,"149,400,000 ₮","500,000 ₮",Х. Ц***А,09:06:23
256,"148,900,000 ₮","1,000,000 ₮",Ч. Б***Т,09:06:18
255,"147,900,000 ₮","100,000 ₮",А. Ө***Л,09:06:16
254,"147,800,000 ₮","50,000 ₮",Ц. О***Л,09:06:13
253,"147,750,000 ₮","500,000 ₮",Г. Ш***Г,09:06:12
252,"147,250,000 ₮","1,000,000 ₮",Д. Т***Г,09:06:11
251,"146,250,000 ₮","50,000 ₮",Н. Т***Л,09:06:07
250,"146,200,000 ₮","50,000 ₮",Б. М***Х,09:06:07
249,"146,150,000 ₮","50,000 ₮",О. Д***Н,09:06:03
248,"146,100,000 ₮","500,000 ₮",Г. А***А,09:05:55
247,"145,600,000 ₮","300,000 ₮",Э. Э***Р,09:05:52
246,"145,300,000 ₮","500,000 ₮",Х. Ц***А,09:05:43
245,"144,800,000 ₮","300,000 ₮",Д. Э***Л,09:05:43
