"Засаг захиргааны нэгж","Гэмт хэргийн ангилал","2018","2019"
"Есөнбулаг","Хүрээлэн байгаа орчны эсрэг","","2"
"Есөнбулаг","ХАБТХАЖ-ын эсрэг гэмт хэрэг","4","7"
"Есөнбулаг","Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг","2","3"
"Есөнбулаг","Эдийн засгийн гэмт хэрэг","1",""
"Есөнбулаг","Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг","","2"
"Есөнбулаг","Авлигын эсрэг","","15"
"Есөнбулаг","Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг","1",""
"Алтай","Улсын дүн","5","5"
"Алтай","Хүний амьд явах эрхийн эсрэг","","0"
"Алтай","Хүнийг  санаатай алах","","0"
"Алтай","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","","0"
"Алтай","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","3","0"
"Алтай","Өмчлөх эрхийн эсрэг","","5"
"Алтай","Хулгайлах","","5"
"Алтай","Хүрээлэн байгаа орчны эсрэг","1",""
"Алтай","Авлигын эсрэг","1",""
"Баян-Уул","Улсын дүн","2","8"
"Баян-Уул","Хүний амьд явах эрхийн эсрэг","","1"
"Баян-Уул","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","","1"
"Баян-Уул","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","","2"
"Баян-Уул","Өмчлөх эрхийн эсрэг","1","4"
"Баян-Уул","Хулгайлах","1",""
"Баян-Уул","Мал хулгайлах","","3"
"Баян-Уул","Дээрэмдэх","","1"
"Баян-Уул","ХАБТХАЖ-ын эсрэг гэмт хэрэг","1",""
"Баян-Уул","Авлигын эсрэг","","1"
"Бигэр","Улсын дүн","3","2"
"Бигэр","Хүний амьд явах эрхийн эсрэг","","0"
"Бигэр","Хүнийг амиа хорлох нөхцөл байдалд  хүргэх","","0"
"Бигэр","Хүний эрүүл мэндийн халдашгүй  байдлын эсрэг","","1"
"Бигэр","Өмчлөх эрхийн эсрэг","1","1"
"Бигэр","Хулгайлах","1",""
"Бигэр","Мал хулгайлах","","1"
"Бигэр","Хүрээлэн байгаа орчны эсрэг","1",""
