"Статистик үзүүлэлт","Засаг захиргааны нэгж","2010","2011","2012","2013","2014","2015","2016","2017"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Арвайхээр","40","55","64","79","62","65","65","47"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Баруунбаян-Улаан","4","3","4","3","4","3","2","4"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Бат-Өлзий","16","9","","","10","11","12","10"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Баянгол","","","4","5","3","","2","5"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Баян-Өндөр","1","2","1","10","5","2","3","3"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Богд","1","6","3","5","14","7","6","8"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Бүрд","3","9","4","1","1","6","4","6"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Гучин-Ус","2","","3","2","","1","3","1"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Есөн зүйл","1","8","3","3","5","2","2","1"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Зүүнбаян-Улаан","5","4","38","28","5","4","6","9"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Нарийнтээл","5","","4","3","2","1","1","5"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Өлзийт","2","3","7","2","2","","4","1"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Сант","2","2","5","8","3","3","1","2"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Тарагт","3","7","5","9","11","10","9","6"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Төгрөг","8","","5","3","7","1","4","1"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Уянга","35","30","19","16","16","11","11","7"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Хайрхандулаан","2","","5","6","2","2","6","4"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Хархорин","30","28","30","21","27","16","20","20"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Хужирт","3","2","7","4","7","10","9","15"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Булган","74","69","78","117","106","113","106","130"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Булган","23","23","29","35","32","26","41","36"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Баян-Агт","1","5","3","2","","7","3","1"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Баяннуур","1","","","","1","2","","1"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Бугат","4","3","3","5","10","6","6","9"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Бүрэгхангай","3","3","1","8","8","10","7","6"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Гурванбулаг","","","2","9","5","9","7","5"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Дашинчилэн","1","2","","3","3","2","2","1"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Могод","1","1","","4","3","5","3","3"
"Хүний амь бие, эрүүл мэндийн эсрэг гэмт хэрэг","Орхон","7","3","10","8","10","11","8","17"
